Dataset,Model,Enhancement,Optimizer,LR,BatchSize,Time/Epoch (sec),Total Time (sec),#Epoch(total),#Epoch(saved),Accuracy(total),Train Accuracy,NumParam,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,Accuracy_6,Accuracy_7,Accuracy_8,Accuracy_9,Accuracy_10
cifar,CNN,no_pool,K-FAC,0.001,32,26.567019787701692,292.2372176647186,11,6,10.0,9.8575,63520,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
mnist,CNN,dropout,LBFGS,0.001,40000,17.3323124025179,797.2863705158234,46,41,11.35,11.26,44426,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,CNN,dropout,K-FAC,0.01,32,13.906318426132202,152.96950268745422,11,6,96.39,95.996,44426,98.6734693877551,99.29515418502203,95.15503875968992,95.34653465346534,95.92668024439918,96.97309417040358,97.28601252609603,95.62256809338521,94.04517453798768,95.34192269573836
cifar,CNN,no_pool,K-FAC,0.01,32,20.34206501642863,122.05239009857178,6,1,9.94,9.98,63520,0.1,0.0,98.6,0.1,0.0,0.1,0.1,0.1,0.0,0.3
cifar,CNN,,K-FAC,0.0001,32,38.90239269392831,272.31674885749817,7,2,49.0,0.0,62006,61.0,64.0,34.0,43.0,40.0,35.0,52.0,53.0,67.0,49.0
cifar,CNN,"dropout, no_pool",LBFGS,0.01,50000,30.125945750404806,512.1410777568817,17,12,21.52,21.86,63520,4.7,22.1,0.5,0.0,0.0,0.0,74.6,39.0,29.0,45.3
cifar,MLP,,SGD,0.0001,32,4.213914218014234,307.61573791503906,73,68,52.66,61.4625,1647946,59.3,60.4,38.2,34.5,43.5,39.7,64.7,60.6,70.1,55.6
cifar,CNN,,LBFGS,0.001,32,14.742697775363922,353.82474660873413,24,19,10.0,0.0,62006,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,CNN,"dropout, no_pool",LBFGS,0.0001,40000,24.522301285266877,2452.2301285266876,100,99,9.58,9.864,54100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
cifar,CNN,dropout,K-FAC,0.001,32,12.342088145869118,345.5784680843353,28,23,50.47,52.5175,62006,38.1,69.9,28.9,22.2,43.1,48.5,66.4,64.8,71.5,51.3
cifar,CNN,dropout,SGD,0.001,32,4.309503826601752,249.9512219429016,58,53,58.64,64.295,62006,65.7,72.5,39.5,34.1,56.8,49.9,70.4,63.6,73.5,60.4
mnist,MLP,dropout,SGD,0.001,32,4.42797867457072,225.8269124031067,51,46,98.1,99.576,476490,98.87755102040816,99.47136563876651,98.06201550387597,98.11881188118812,97.86150712830957,97.98206278026906,98.43423799582463,97.27626459143968,97.3305954825462,97.42319127849356
fashion_mnist,CNN,dropout,SGD,0.001,32,4.586015532998478,389.8113203048706,85,80,89.5,91.424,44426,84.6,97.7,82.5,90.0,86.3,97.6,65.9,97.0,97.5,95.9
mnist,CNN,,SGD,0.001,40000,8.758948442935944,875.8948442935944,100,100,11.35,11.09,44426,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,CNN,,K-FAC,0.001,32,9.766584581798977,87.8992612361908,9,4,93.42,93.068,44426,99.21875,97.77777777777777,97.16312056737588,91.12903225806451,91.30434782608695,88.76404494382022,93.07692307692308,89.56521739130434,90.26548672566372,86.33093525179856
fashion_mnist,MLP,,SGD,0.001,32,4.448984440167745,133.46953320503235,30,25,88.2,92.992,476490,85.8,96.4,76.9,92.2,76.1,96.0,71.8,93.6,95.8,97.4
cifar,MLP,dropout,K-FAC,0.001,32,63.02154815196991,378.12928891181946,6,1,16.7,16.8725,1647946,21.3,0.5,0.9,0.0,91.1,0.1,0.4,4.3,4.5,43.9
cifar,MLP,dropout,LBFGS,0.0001,50000,7.657941584587097,765.7941584587097,100,100,9.34,9.455,1647946,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,0.0
mnist,CNN,"dropout, no_pool",SGD,0.01,32,5.42056958436966,542.0569584369659,100,98,9.8,9.83,54100,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar,CNN,,LBFGS,0.1,32,1.066154544353485,106.61545443534851,100,100,10.0,10.03,62006,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar,MLP,,LBFGS,0.001,32,23.997198502222698,215.97478652000427,9,4,9.91,9.71,1647946,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0
cifar,CNN,,K-FAC,0.001,32,11.75045482814312,188.00727725028992,16,11,64.96,74.465,62006,71.9,74.2,58.4,46.4,55.1,51.0,72.3,70.4,73.9,76.0
fashion_mnist,CNN,no_pool,LBFGS,0.1,50000,25.82140662935045,929.5706386566162,36,31,86.94,89.792,54100,82.4,96.7,79.0,87.6,78.4,95.4,63.0,95.2,96.3,95.4
mnist,MLP,dropout,LBFGS,0.0001,40000,7.775837850570679,777.5837850570679,100,100,11.01,11.472,476490,0.0,0.0,0.0,0.0,0.0,0.0,49.58246346555324,0.0,64.16837782340862,0.09910802775024777
cifar,CNN,dropout,LBFGS,0.0001,50000,17.749928215571813,621.2474875450134,35,30,10.0,9.9525,62006,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,MLP,,K-FAC,0.0001,32,30.756053772839632,676.6331830024719,22,17,97.58,99.078,476490,99.08163265306122,98.94273127753304,97.77131782945736,97.62376237623762,97.65784114052953,95.96412556053812,97.49478079331942,96.98443579766537,97.12525667351129,96.82854311199208
cifar,CNN,,SGD,0.1,50000,9.064540954736563,353.51709723472595,39,34,27.44,27.4675,62006,43.7,28.2,4.0,10.1,8.7,3.7,55.3,45.8,31.2,43.7
mnist,CNN,no_pool,K-FAC,0.0001,32,81.43441085020702,977.2129302024841,12,7,97.57,0.0,54100,98.4375,99.25925925925925,95.74468085106383,97.58064516129032,97.10144927536231,92.13483146067416,96.92307692307692,98.26086956521739,97.34513274336283,96.40287769784173
cifar,CNN,"dropout, no_pool",K-FAC,0.0001,32,74.1262512955011,3780.4388160705566,51,46,37.22,38.395,63520,48.4,65.4,4.1,13.1,6.5,25.7,74.9,51.7,40.4,42.0
mnist,CNN,,LBFGS,0.001,40000,19.411609947681427,1941.1609947681427,100,100,96.89,96.448,44426,98.4375,98.51851851851852,95.74468085106383,98.38709677419355,97.10144927536231,94.38202247191012,96.15384615384616,92.17391304347827,96.46017699115045,92.0863309352518
cifar,MLP,dropout,SGD,0.001,32,4.137058610007877,86.8782308101654,21,16,53.76,62.55,1647946,61.2,61.3,42.6,39.4,43.7,41.3,63.8,59.0,67.6,57.7
